O tempo gasto montando PDFs ou planilhas confusas é o tempo que você deixa de usar para captar novos clientes ou atender seus atletas na sala de musculação.|Time spent making PDFs and spreadsheets could be spent finding clients or coaching athletes.|El tiempo dedicado a crear PDF y hojas de cálculo podría usarse para captar clientes o atender a tus atletas.
Estruture o bloco|Structure the block|Estructura el bloque
Selecione objetivos, número de semanas e divisão de dias em poucos cliques.|Choose goals, weeks and training split in a few clicks.|Elige objetivos, semanas y distribución de días en pocos clics.
Puxe da sua biblioteca pessoal|Pick from your personal library|Elige de tu biblioteca personal
Use seus exercícios favoritos ou salve combinações recorrentes para reutilizar.|Use favorite exercises or save combinations to reuse.|Usa tus ejercicios favoritos o guarda combinaciones para reutilizarlas.
Envio imediato ao app do aluno|Send straight to the athlete's app|Envío inmediato a la app del alumno
Sem download de arquivos pesados. O treino sincroniza na hora com vídeos e notas.|No large downloads. Workouts sync with videos and notes.|Sin archivos pesados. El entrenamiento se sincroniza con vídeos y notas.
Biblioteca de Exercícios & Padrões|Exercise & movement library|Biblioteca de ejercicios y patrones
Filtro: Posterior de Coxa|Filter: Hamstrings|Filtro: Isquiotibiales
Stiff com Barra|Barbell stiff-leg deadlift|Peso muerto con piernas rígidas
Cadeia posterior • Extensão de quadril pura|Posterior chain • Hip extension|Cadena posterior • Extensión de cadera
Inserir no Treino|Add to workout|Añadir al entrenamiento
Cadeira Flexora|Seated leg curl|Curl femoral sentado
Isolador • Flexão de joelho em 90° de quadril|Isolation • Knee flexion at 90° hip angle|Aislamiento • Flexión de rodilla con cadera a 90°
Elevação Pélvica com Barra|Barbell hip thrust|Hip thrust con barra
Glúteo máximo • Pico encurtado|Gluteus maximus • Shortened contraction|Glúteo mayor • Contracción acortada
Personalize cadências, vídeos demonstrativos e orientações específicas.|Customize tempo, demo videos and instructions.|Personaliza cadencias, vídeos e indicaciones.
Auto-save ativo|Autosave enabled|Guardado automático activo
A Realidade de Quem Usa|From people who use it|La experiencia de quienes lo usan
Criado a partir da rotina diária no salão de musculação.|Built around everyday life on the gym floor.|Creado a partir del día a día en el gimnasio.
Investimento Claro|Clear pricing|Precios claros
Planos diretos para cada estágio da sua atuação.|Straightforward plans for every stage.|Planes claros para cada etapa.
Sem taxas ocultas de matrícula ou fidelidade forçada. Cancele quando quiser.|No hidden fees or forced commitments. Cancel anytime.|Sin cargos ocultos ni permanencia obligatoria. Cancela cuando quieras.
Atleta Solo|Solo athlete|Atleta individual
Para quem treina por conta própria e quer registrar histórico de cargas, cadência e evolução corporal.|For independent athletes tracking loads, tempo and body progress.|Para quienes entrenan por su cuenta y registran cargas, cadencia y evolución corporal.
/mês|/month|/mes
Cobrado anualmente ou R$ 39 no mensal|Billed annually or R$39 monthly|Facturación anual o R$39 al mes
Registro completo de treinos e cargas|Complete workout and load tracking|Registro completo de entrenamientos y cargas
Cronômetro inteligente de recuperação|Smart rest timer|Temporizador de recuperación
Histórico fotográfico e medidas|Photo history and measurements|Historial fotográfico y medidas
Começar Assinatura|Start subscription|Iniciar suscripción
PROFISSIONAL|PROFESSIONAL|PROFESIONAL
Para treinadores gerenciarem suas consultorias presenciais e online com agilidade e cobrança integrada.|For in-person and online coaching with integrated billing.|Para asesorías presenciales y online con cobros integrados.
Cobrado anualmente ou R$ 119 no mensal|Billed annually or R$119 monthly|Facturación anual o R$119 al mes
Até 50 alunos ativos simultâneos|Up to 50 active athletes|Hasta 50 alumnos activos
Montagem de treinos e blocos ilimitados|Unlimited workouts and blocks|Rutinas y bloques ilimitados
Cobrança recorrente automática via Pix|Automatic recurring Pix payments|Cobros recurrentes automáticos por Pix
Sua logomarca no aplicativo do aluno|Your logo in the athlete's app|Tu logotipo en la app del alumno
Testar 14 Dias Grátis|Try 14 days free|Prueba 14 días gratis
ESTÚDIOS & BOXES|STUDIOS & BOXES|ESTUDIOS Y BOXES
Gestão de Unidade|Facility management|Gestión de unidades
Estrutura completa com equipe de professores, recepção e controle de catracas locais.|Complete setup for coaches, reception and local access control.|Estructura completa para profesores, recepción y control de acceso.
Por unidade física ativa|Per active facility|Por unidad física activa
Alunos ilimitados no banco de dados|Unlimited athletes|Alumnos ilimitados
Acesso para múltiplos professores|Multi-coach access|Acceso para varios profesores
Integração com catracas (Hikvision, Control iD)|Turnstile integration (Hikvision, Control iD)|Integración con torniquetes (Hikvision, Control iD)
Suporte prioritário via WhatsApp|Priority WhatsApp support|Soporte prioritario por WhatsApp
Falar com Consultor|Talk to an advisor|Hablar con un asesor
Demonstração Interativa|Interactive demo|Demostración interactiva
Cancelar|Cancel|Cancelar
Iniciar Demonstração|Start demo|Iniciar demostración
Software de Prescrição & Gestão Atlética|Training prescription & athlete management software|Software de prescripción y gestión atlética
Área do Cliente|Client area|Área del cliente
Suporte Técnico|Technical support|Soporte técnico
Privacidade|Privacy|Privacidad
Termos de Uso|Terms of use|Términos de uso
Bom ter você de volta.|Good to have you back.|Qué bueno tenerte de vuelta.
Acesse seu workspace de performance física.|Access your training workspace.|Accede a tu espacio de entrenamiento.
E-mail|Email|Correo electrónico
Senha|Password|Contraseña
Confirmar senha|Confirm password|Confirmar contraseña
Esqueceu sua senha?|Forgot your password?|¿Olvidaste tu contraseña?
Manter sessão ativa neste dispositivo|Keep me signed in on this device|Mantener la sesión iniciada en este dispositivo
Entrar no Workspace|Sign in to your workspace|Entrar al espacio de trabajo
Continuar com Google Workspace|Continue with Google|Continuar con Google
Acesso via Passkey / Biometria|Passkey / biometric access|Acceso con passkey / biometría
Ainda não possui acesso profissional?|Don't have an account yet?|¿Todavía no tienes una cuenta?
Cadastre-se|Create an account|Crear una cuenta
ShapeUp Workspace • Infraestrutura local e em nuvem criptografada|ShapeUp Workspace • Encrypted local and cloud infrastructure|ShapeUp Workspace • Infraestructura local y en la nube cifrada
Ambiente Seguro ShapeUp|Secure ShapeUp environment|Entorno seguro ShapeUp
Workspace de Performance Atlética|Athletic performance workspace|Espacio de rendimiento atlético
Ambiente restrito e isolado para prescrição, periodização e acompanhamento de biofeedback físico de alto nível.|A dedicated workspace for programming, periodization and performance tracking.|Un espacio dedicado a la prescripción, periodización y seguimiento del rendimiento.
Criptografia e Proteção de Dados|Encryption and data protection|Cifrado y protección de datos
Prontuários e métricas periodizadas armazenados com isolamento estrito e conformidade LGPD.|Training records and metrics stored with access controls and LGPD compliance.|Registros y métricas almacenados con controles de acceso y cumplimiento de LGPD.
Sincronização Contínua em Nuvem|Continuous cloud sync|Sincronización continua en la nube
Redundância local ativa com restauração instantânea de sessões de treinamento.|Local redundancy with training session recovery.|Respaldo local con recuperación de sesiones de entrenamiento.
Todos os serviços operacionais|All services operational|Todos los servicios operativos
Criptografia ponta a ponta|End-to-end encryption|Cifrado de extremo a extremo
seu.email@exemplo.com|your.email@example.com|tu.correo@ejemplo.com
Alternar visibilidade da senha|Toggle password visibility|Alternar visibilidad de contraseña
Mostrar senha|Show password|Mostrar contraseña
Ocultar senha|Hide password|Ocultar contraseña
Selecione seu workspace|Choose your workspace|Elige tu espacio de trabajo
Passo 1 de 3:|Step 1 of 3:|Paso 1 de 3:
Passo 2 de 3:|Step 2 of 3:|Paso 2 de 3:
Passo 3 de 3:|Step 3 of 3:|Paso 3 de 3:
Identificação & Perfil de Uso|Identity & usage profile|Identificación y perfil de uso
Etapa 01/03|Step 01/03|Etapa 01/03
Etapa 02/03|Step 02/03|Etapa 02/03
Etapa 03/03|Step 03/03|Etapa 03/03
1. Perfil & Identificação|1. Profile & identity|1. Perfil e identificación
2. Credenciais|2. Credentials|2. Credenciales
3. Parâmetros|3. Details|3. Datos
Como você pretende usar o ShapeUp?|How will you use ShapeUp?|¿Cómo usarás ShapeUp?
Configure seu ambiente de trabalho de acordo com seu papel de atuação.|Set up your workspace for your role.|Configura tu espacio de trabajo según tu perfil.
Selecione seu perfil de configuração|Choose your profile|Elige tu perfil
Prescrição de treinos, periodização técnica, gestão de alunos e acompanhamento de cargas.|Workout programming, periodization, athlete management and load tracking.|Prescripción, periodización, gestión de alumnos y seguimiento de cargas.
Atleta / Aluno|Athlete / Client|Atleta / Alumno
Acesso ao plano prescrito, registro de cargas em tempo real, diário de nutrição e métricas corporais.|Access your program, log loads, track nutrition and body metrics.|Accede a tu rutina, registra cargas, nutrición y métricas corporales.
Gestor de Academia ou Studio|Gym or studio manager|Gestor de gimnasio o estudio
Controle de catracas e acessos em tempo real, fluxo de caixa, gestão de equipe e relatórios operacionais.|Access control, cash flow, staff management and operational reports.|Control de acceso, flujo de caja, gestión del equipo e informes operativos.
Dados de Identificação|Personal details|Datos de identificación
Nome completo|Full name|Nombre completo
E-mail profissional|Work email|Correo profesional
Telefone / WhatsApp com DDD|Phone / WhatsApp with area code|Teléfono / WhatsApp con código de área
Continuar configuração|Continue|Continuar
Já possui uma conta?|Already have an account?|¿Ya tienes una cuenta?
Seu nome completo|Your full name|Tu nombre completo
nome@dominio.com.br|name@example.com|nombre@ejemplo.com
Data de nascimento|Date of birth|Fecha de nacimiento
Voltar|Back|Volver
Concluir cadastro|Create account|Crear cuenta
Criando conta…|Creating account…|Creando cuenta…
Recuperação de Acesso|Account recovery|Recuperación de acceso
Autenticação • Proteção de Credenciais|Authentication • Credential protection|Autenticación • Protección de credenciales
E-mail cadastrado|Account email|Correo registrado
Formato inválido|Invalid format|Formato inválido
Enviar Link de Redefinição|Send reset link|Enviar enlace de restablecimiento
Tentar outro e-mail|Try another email|Probar otro correo
Voltar para o login|Back to sign in|Volver al inicio de sesión
E-mail de verificação despachado|Verification email sent|Correo de verificación enviado
30 minutos|30 minutes|30 minutos
Informe o e-mail associado à sua conta institucional ou pessoal. Enviaremos um link seguro para redefinição de senha com validade de 30 minutos.|Enter your account email. We will send a secure password reset link.|Introduce el correo de tu cuenta. Enviaremos un enlace seguro para restablecer la contraseña.
Dúvidas ou perda de acesso ao e-mail? Fale com a equipe de suporte ou com a administração da sua academia.|Questions or lost email access? Contact support or your gym administrator.|¿Dudas o pérdida de acceso al correo? Contacta con soporte o la administración de tu gimnasio.
Se o endereço|If the address|Si la dirección
existir em nossa base, as instruções de redefinição foram entregues com token unívoco.|exists in our system, reset instructions have been sent.|existe en nuestro sistema, se han enviado las instrucciones.
O link expira impreterivelmente em|The link expires in|El enlace caduca en
por razões de conformidade institucional.|for security reasons.|por motivos de seguridad.
ShapeUp Security Protocol • Criptografia ponta a ponta|ShapeUp Security Protocol • End-to-end encryption|ShapeUp Security Protocol • Cifrado de extremo a extremo
Traçar rota|Get directions|Cómo llegar
Período do gráfico|Chart period|Período del gráfico
Registre uma sessão para acompanhar sua evolução.|Log a session to track your progress.|Registra una sesión para seguir tu evolución.
Minha conta|My account|Mi cuenta
Meu Painel|My dashboard|Mi panel
Painel do Treinador|Coach dashboard|Panel del entrenador
Meus Alunos|My athletes|Mis alumnos
Criador & Periodização|Builder & periodization|Editor y periodización
Meus Treinos|My workouts|Mis entrenamientos
Biblioteca de Exercícios|Exercise library|Biblioteca de ejercicios
Painel Nutricional|Nutrition dashboard|Panel nutricional
Mensagens & Consultoria|Messages & coaching|Mensajes y asesoría
Relatórios|Reports|Informes
Análises|Analytics|Análisis
Meus Objetivos|My goals|Mis objetivos
Buscar Academias|Find gyms|Buscar gimnasios
Gestão Financeira|Financial management|Gestión financiera
Equipe|Staff|Equipo
Controle de Acesso|Access control|Control de acceso
Configurações|Settings|Configuración
Moderação de Alimentos|Food moderation|Moderación de alimentos
Recursos da Plataforma|Platform features|Funciones de la plataforma
Gestão Atlética|Athlete management|Gestión atlética
Atendimento & Sistema|Coaching & system|Atención y sistema
Encerrar sessão|Sign out|Cerrar sesión
Abrir menu|Open menu|Abrir menú
Fechar menu|Close menu|Cerrar menú
Conversas|Conversations|Conversaciones
Buscar conversa...|Search conversations...|Buscar conversación...
Você|You|Tú
Seu treinador|Your coach|Tu entrenador
Nenhuma mensagem nesta conversa.|No messages in this conversation.|No hay mensajes en esta conversación.
Enviar|Send|Enviar
Excluir|Delete|Eliminar
Salvar|Save|Guardar
Editar|Edit|Editar
Adicionar|Add|Añadir
Todos|All|Todos
Hoje|Today|Hoy
Filtros|Filters|Filtros
Pesquisar|Search|Buscar
Nome|Name|Nombre
Status|Status|Estado
Ações|Actions|Acciones
Detalhes|Details|Detalles
Fechar|Close|Cerrar
Ativo|Active|Activo
Pendente|Pending|Pendiente
Concluído|Completed|Completado
Nenhum aluno encontrado.|No athletes found.|No se encontraron alumnos.
Não foi possível carregar os alunos. Tente novamente.|Unable to load athletes. Please try again.|No se pudieron cargar los alumnos. Inténtalo de nuevo.
Nenhuma academia disponível.|No gyms available.|No hay gimnasios disponibles.
Endereço não informado|Address not provided|Dirección no disponible
Bem-vindo ao ShapeUp.|Welcome to ShapeUp.|Bienvenido a ShapeUp.
Nutrição & Gasto Calórico.|Nutrition & energy expenditure.|Nutrición y gasto calórico.
Seu Perfil de Atleta.|Your athlete profile.|Tu perfil de atleta.
Seu Workspace Está Pronto.|Your workspace is ready.|Tu espacio está listo.
Calibração de Abertura|Initial setup|Configuración inicial
Fórmula de Combustível|Fuel formula|Fórmula de energía
Registro de Performance|Performance tracking|Registro de rendimiento
Setup Finalizado|Setup complete|Configuración finalizada
Continuar|Continue|Continuar
Próximo|Next|Siguiente
Finalizar|Finish|Finalizar
Configurar no diário|Set up in the diary|Configurar en el diario
Carregar foto local|Upload local photo|Subir foto local
Salvar alterações|Save changes|Guardar cambios
Alterações salvas com sucesso.|Changes saved successfully.|Cambios guardados correctamente.
Atualizar senha|Update password|Actualizar contraseña
Não configurado|Not configured|Sin configurar
Navegador atual|Current browser|Navegador actual
Nenhuma solicitação aguardando moderação.|No requests awaiting moderation.|No hay solicitudes pendientes de moderación.
Inspecionar|Inspect|Inspeccionar
Aprovar e Publicar|Approve and publish|Aprobar y publicar
Rejeitar|Reject|Rechazar
Aguardando revisão|Awaiting review|Pendiente de revisión
Adicionar Série|Add set|Añadir serie
Adicionar série|Add set|Añadir serie
Remover série|Remove set|Eliminar serie
Remover exercício|Remove exercise|Eliminar ejercicio
Substituir Exercício|Replace exercise|Sustituir ejercicio
Aquecimento|Warm-up|Calentamiento
Preparação|Preparation|Preparación
Carga Efetiva|Working set|Serie efectiva
Repetições alvo|Target reps|Repeticiones objetivo
Carga|Load|Carga
Descanso|Rest|Descanso
Voltar à biblioteca|Back to library|Volver a la biblioteca
Registro diário|Daily log|Registro diario
Registro diário neste dispositivo|Daily log on this device|Registro diario en este dispositivo
litros registrados|liters logged|litros registrados
Nenhuma orientação nova do treinador.|No new instructions from your coach.|No hay nuevas indicaciones del entrenador.
Seu Plano de Treinamento|Your training program|Tu plan de entrenamiento
Seu treino aparecerá aqui após a prescrição.|Your workout will appear here when assigned.|Tu entrenamiento aparecerá aquí cuando sea asignado.
Nenhum feedback pendente.|No pending feedback.|No hay comentarios pendientes.
Nenhum atendimento agendado para hoje.|No appointments scheduled today.|No hay citas programadas para hoy.
Responder Aluno|Reply to athlete|Responder al alumno
Sem ficha|No program|Sin rutina
Sem registro|No record|Sin registro
Sem periodização|No periodization|Sin periodización
Objetivo não informado|Goal not provided|Objetivo no informado
Sem agendamento|No appointment|Sin cita
Próximo atendimento|Next appointment|Próxima cita
Plano de treinamento|Training program|Plan de entrenamiento
Prescrição e acompanhamento|Programming and tracking|Prescripción y seguimiento
Anexar áudio|Attach audio|Adjuntar audio
Sessão A — Cadeira Posterior & Extensão de Quadril|Session A — Posterior chain & hip extension|Sesión A — Cadena posterior y extensión de cadera
"Parei de perder meus domingos inteiros montando planilhas no computador. Com o ShapeUp eu atualizo a ficha do atleta no intervalo entre os atendimentos presenciais."|"I stopped spending my Sundays making spreadsheets. With ShapeUp I update programs between coaching appointments."|"Dejé de pasar los domingos creando hojas de cálculo. Con ShapeUp actualizo las rutinas entre citas."
Personal Trainer • São Paulo|Personal trainer • São Paulo|Entrenador personal • São Paulo
"Meus alunos finalmente registram as cargas que levantam. O app é direto, sem propagandas ou distrações infantis que atrapalham o ritmo do treino."|"My athletes finally log their loads. The app is straightforward, without ads or distractions that interrupt training."|"Mis alumnos por fin registran sus cargas. La app es directa, sin anuncios ni distracciones que interrumpan el entrenamiento."
Treinadora de Força • Curitiba|Strength coach • Curitiba|Entrenadora de fuerza • Curitiba
"Resolveu duas dores ao mesmo tempo no nosso estúdio: a cobrança automática via Pix todo dia 5 e o controle de fichas unificado para os três professores."|"It solved two problems in our studio: automatic Pix billing and shared program management for all three coaches."|"Resolvió dos problemas del estudio: cobros automáticos por Pix y gestión compartida de rutinas para los tres profesores."
Gestor do Estúdio Atlas • Belo Horizonte|Atlas studio manager • Belo Horizonte|Gestor del estudio Atlas • Belo Horizonte
O ambiente de demonstração permite que você monte um treino de teste, navegue pela lista de alunos fictícios e veja a visão exata que o atleta recebe no celular.|The demo lets you build a sample workout and explore the athlete experience.|La demostración permite crear un entrenamiento de prueba y explorar la experiencia del atleta.
• 1 Treinador configurado|• 1 coach configured|• 1 entrenador configurado
• 3 Alunos com históricos preenchidos|• 3 sample athletes with history|• 3 alumnos de ejemplo con historial
• Biblioteca com mais de 300 exercícios pronta para uso|• Exercise library ready to use|• Biblioteca de ejercicios lista para usar
© 2025 ShapeUp Tecnologia Ltda. Desenvolvido para a prática real do treinamento físico.|© 2025 ShapeUp Tecnologia Ltda. Built for real training.|© 2025 ShapeUp Tecnologia Ltda. Desarrollado para el entrenamiento real.
Ativação de Conta|Account activation|Activación de cuenta
Defina suas credenciais para vincular seu perfil e acessar sua rotina.|Set your credentials to link your profile and access your routine.|Define tus credenciales para vincular tu perfil y acceder a tu rutina.
Nome Completo|Full name|Nombre completo
Convite exclusivo enviado para este endereço.|An exclusive invitation was sent to this address.|Se envió una invitación exclusiva a esta dirección.
Celular / WhatsApp|Mobile / WhatsApp|Móvil / WhatsApp
Usado para recados e avisos sobre sua periodização.|Used for updates about your training program.|Se usa para avisos sobre tu programa de entrenamiento.
Confirmar Senha|Confirm password|Confirmar contraseña
Li e concordo com os|I have read and agree to the|He leído y acepto los
e a|and the|y la
Política de Privacidade|Privacy policy|Política de privacidad
Ativar conta e entrar|Activate account and sign in|Activar cuenta e iniciar sesión
Ao ativar, você terá acesso imediato às planilhas e orientações do seu treinador.|After activation, you can access your coach's programs and instructions.|Tras activar la cuenta podrás acceder a las rutinas e indicaciones de tu entrenador.
Mínimo 8 caracteres|At least 8 characters|Mínimo 8 caracteres
Alternar exibição da senha|Toggle password visibility|Alternar visibilidad de contraseña
Repita a senha|Repeat password|Repite la contraseña
Alternar exibição da confirmação de senha|Toggle confirmation visibility|Alternar visibilidad de confirmación
Convite de treinamento|Training invitation|Invitación de entrenamiento
Complete seu cadastro para aceitar o convite e acessar seu espaço de treinamento no ShapeUp.|Complete registration to accept the invitation and access ShapeUp.|Completa el registro para aceptar la invitación y acceder a ShapeUp.
Conta & Preferências|Account & preferences|Cuenta y preferencias
Mensagens|Messages|Mensajes
Descartar|Discard|Descartar
Configurações da Conta|Account settings|Configuración de la cuenta
Gerencie suas informações profissionais, convenções métricas de prescrição, notificações e segurança de acesso.|Manage professional details, training conventions, notifications and account security.|Gestiona tus datos profesionales, convenciones de entrenamiento, notificaciones y seguridad.
Perfil & Registro|Profile & registration|Perfil y registro
Notação & Treino|Notation & training|Notación y entrenamiento
Notificações|Notifications|Notificaciones
Segurança & Sessões|Security & sessions|Seguridad y sesiones
Perfil & Identidade Profissional|Professional profile & identity|Perfil e identidad profesional
Dados exibidos nas planilhas, assinaturas digitais de laudos e perfil visível para os atletas.|Details shown in programs, reports and your athlete-facing profile.|Datos que aparecen en rutinas, informes y en el perfil visible para los atletas.
Alterar foto|Change photo|Cambiar foto
Remover|Remove|Eliminar
Registro CREF / Regional|CREF / regional registration|Registro CREF / regional
Telefone operacional|Contact phone|Teléfono de contacto
Especialidade & Biografia curta|Specialty & short biography|Especialidad y biografía breve
Unidade principal de atendimento|Primary facility|Unidad principal
Notação de Treino & Biomecânica|Training notation & biomechanics|Notación de entrenamiento y biomecánica
Padrões metrológicos adotados na montagem de planilhas e no aplicativo móvel dos seus atletas.|Measurement standards used in programs and the athlete app.|Estándares de medida usados en rutinas y en la app del atleta.
Sistema de unidades|Unit system|Sistema de unidades
Cálculo de volume e tonelagem acumulada.|Volume and accumulated tonnage calculation.|Cálculo de volumen y tonelaje acumulado.
Métrico (kg / cm)|Metric (kg / cm)|Métrico (kg / cm)
Imperial (lbs / in)|Imperial (lbs / in)|Imperial (lbs / in)
Formato de cadência (TUT)|Tempo format (TUT)|Formato de cadencia (TUT)
Convenção para prescrição de tempo sob tensão.|Time-under-tension notation.|Notación del tiempo bajo tensión.
4 dígitos (Exc-Pausa-Conc-Pausa, ex: 3-0-1-0)|4 digits (ecc-pause-con-pause, e.g. 3-0-1-0)|4 dígitos (exc-pausa-conc-pausa, ej. 3-0-1-0)
3 dígitos (Exc-Pausa-Conc, ex: 3-1-1)|3 digits (ecc-pause-con, e.g. 3-1-1)|3 dígitos (exc-pausa-conc, ej. 3-1-1)
Tempo total por repetição (ex: 4s contínuos)|Total time per rep (e.g. 4 continuous seconds)|Tiempo total por repetición (ej. 4 s continuos)
Métrica de percepção de esforço|Effort metric|Métrica de esfuerzo percibido
Guia padrão para autorregulação de séries principais.|Default guide for working-set autoregulation.|Guía de autorregulación de las series principales.
RPE (Escala Borg 1–10)|RPE (Borg scale 1–10)|RPE (escala de Borg 1–10)
RIR (Repetições na reserva)|RIR (reps in reserve)|RIR (repeticiones en reserva)
Incremento mínimo de carga|Minimum load increment|Incremento mínimo de carga
Arredondamento automático em sugestões de progressão de carga.|Automatic rounding for load progression suggestions.|Redondeo automático de las sugerencias de carga.
0,5 kg (Fracionado)|0.5 kg (fractional)|0,5 kg (fraccionado)
2,5 kg (Padrão anilhas)|2.5 kg (standard plates)|2,5 kg (discos estándar)
Notificações & Alertas|Notifications & alerts|Notificaciones y alertas
Controle o volume e os canais de recebimento de atualizações da sua carteira de atletas.|Control notification frequency and channels for your athletes.|Controla la frecuencia y los canales de las notificaciones de tus atletas.
Check-ins de treino concluídos|Completed workout check-ins|Registros de entrenamientos completados
Receba um e-mail instantâneo quando um atleta finalizar a sessão prescrita.|Receive an email when an athlete completes a session.|Recibe un correo cuando un atleta complete una sesión.
Resumo diário de feedbacks|Daily feedback summary|Resumen diario de comentarios
